Name,%GC,Exonic Rate,Sequences flagged as poor quality,rRNA rate,Fragment Length Mean,Intronic Rate,Intergenic Rate,Mapping Rate,Quality format,Duplication Rate of Mapped,Mapped,rRNA,Sequence length,Transcripts Detected,5'-3' bias,Mean Per Base Cov.,Genes Detected,sampletype,cell
Young_29,48,0.40540000796318054,0,1.3960696378489956E-5,63.0,0.45719999074935913,0.13740000128746033,0.18913640081882477,standard,0.07726600021123886,243860,18.0,25-75,0,1.75,0,0,Young,29
Young_28,47,0.4212999939918518,0,0.0,55.0,0.4747999906539917,0.1039000004529953,0.2592587172985077,standard,0.24407799541950226,427087,0.0,25-75,0,1.9800000190734863,0,0,Young,28
Young_25,49,0.5408999919891357,0,1.6786198102636263E-6,62.0,0.3384000062942505,0.12070000171661377,0.12113256752490997,standard,0.07041700184345245,144324,2.0,25-75,0,1.5299999713897705,0,0,Young,25
Young_24,49,0.4528999924659729,0,7.631694529663946E-7,51.0,0.45239999890327454,0.09470000118017197,0.15360234677791595,standard,0.06641799956560135,201269,1.0,25-75,0,1.2300000190734863,0,0,Young,24
Young_27,46,0.4496999979019165,0,0.0,50.0,0.4090999960899353,0.1412000060081482,0.33633115887641907,standard,0.22012600302696228,645774,0.0,25-75,0,1.3200000524520874,0,0,Young,27
Young_26,40,0.5059999823570251,0,8.552106010029092E-6,51.0,0.33500000834465027,0.1589999943971634,0.8009257912635803,standard,0.24255600571632385,4682623,50.0,25-75,0,1.2300000190734863,0,0,Young,26
Young_21,47,0.44760000705718994,0,0.0,25.0,0.4291999936103821,0.12319999933242798,0.27143561840057373,standard,0.1285330057144165,296095,0.0,25-75,0,1.100000023841858,0,0,Young,21
Young_20,45,0.498199999332428,0,0.0,51.0,0.3882000148296356,0.1136000007390976,0.39802977442741394,standard,0.14309300482273102,567520,0.0,25-75,0,1.2200000286102295,0,0,Young,20
Young_23,46,0.3095000088214874,0,1.1885292678925907E-6,53.0,0.571399986743927,0.11909999698400497,0.2835967540740967,standard,0.19975200295448303,477223,2.0,25-75,0,1.7899999618530273,0,0,Young,23
Young_22,47,0.32019999623298645,0,0.0,58.0,0.5681999921798706,0.11150000244379044,0.23085848987102509,standard,0.14250899851322174,283298,0.0,25-75,0,1.9800000190734863,0,0,Young,22
Old_57,47,0.536899983882904,0,0.0,54.0,0.3330000042915344,0.13009999692440033,0.22408582270145416,standard,0.2383430004119873,289894,0.0,25-75,0,1.75,0,0,Old,57
Old_56,47,0.48089998960494995,0,0.0,25.0,0.3847000002861023,0.13439999520778656,0.33584386110305786,standard,0.11394499987363815,356551,0.0,25-75,0,1.159999966621399,0,0,Old,56
Old_55,43,0.3231000006198883,0,0.0,51.0,0.5519999861717224,0.12489999830722809,0.4666910767555237,standard,0.2360440045595169,969953,0.0,25-75,0,1.1100000143051147,0,0,Old,55
Old_54,41,0.40149998664855957,0,7.0422088356281165E-6,0.0,0.4747999906539917,0.12370000034570694,0.5691853165626526,standard,0.36224600672721863,2343920,29.0,25-75,0,1.1699999570846558,0,0,Old,54
Old_53,43,0.32659998536109924,0,0.0,64.0,0.5440999865531921,0.12929999828338623,0.39447253942489624,standard,0.37541499733924866,2098883,0.0,25-75,0,1.659999966621399,0,0,Old,53
Old_52,42,0.37959998846054077,0,5.586177394434344E-6,49.0,0.47699999809265137,0.14339999854564667,0.43643075227737427,standard,0.36647799611091614,2421934,31.0,25-75,0,0.8600000143051147,0,0,Old,52
Old_51,47,0.6046000123023987,0,0.0,52.0,0.2849000096321106,0.11050000041723251,0.34519878029823303,standard,0.3164510130882263,1272673,0.0,25-75,0,1.3799999952316284,0,0,Old,51
Old_50,45,0.1370999962091446,0,7.733595452918962E-7,50.0,0.28360000252723694,0.579200029373169,0.2913596034049988,standard,0.4548789858818054,1130236,3.0,25-75,0,9.949999809265137,0,0,Old,50
Old_59,43,0.5250999927520752,0,2.127680858166059E-7,54.0,0.3296000063419342,0.1453000009059906,0.4181269407272339,standard,0.4258520007133484,1965177,1.0,25-75,0,1.2300000190734863,0,0,Old,59
